Area,Pop_at_30Jun13
Northland region,164700
Auckland region,1493200
Waikato region,424600
Bay of Plenty region,279700
Gisborne region,47000
Hawke's Bay region,158000
Taranaki region,113600
Manawatu-Wanganui region,231200
Wellington region,486700
Tasman region,48800
Nelson region,48700
Marlborough region,44700
West Coast region,33000
Canterbury region,562900
Otago region,208800
Southland region,96000
Far North district,60600
Whangarei district,83700
Kaipara district,20500
Auckland,1493200
Thames-Coromandel district,27300
Hauraki district,18600
Waikato district,66500
Matamata-Piako district,32900
Hamilton city,150200
Waipa district,48700
Otorohanga district,9590
South Waikato district,23200
Waitomo district,9340
Taupo district,34800
Western Bay of Plenty district,45500
Tauranga city,119800
Rotorua district,68400
Whakatane district,34200
Kawerau district,6650
Opotiki district,8780
Gisborne district,47000
Wairoa district,8300
Hastings district,76700
Napier city,59600
Central Hawke's Bay district,13250
New Plymouth district,77100
Stratford district,9210
South Taranaki district,27500
Ruapehu district,12450
Wanganui district,43500
Rangitikei district,14550
Manawatu district,28500
Palmerston North city,83500
Tararua district,17450
Horowhenua district,31200
Kapiti Coast district,50700
Porirua city,53700
Upper Hutt city,41300
Hutt city,101200
Wellington city,197500
Masterton district,24100
Carterton district,8490
South Wairarapa district,9800
Tasman district,48800
Nelson city,48700
Marlborough district,44700
Kaikoura district,3640
Buller district,10650
Grey district,13700
Westland district,8570
Hurunui district,12000
Waimakariri district,52300
Christchurch city,356700
Selwyn district,46700
Ashburton district,32300
Timaru district,45400
Mackenzie district,4300
Waimate district,7810
Chatham Islands,600
Waitaki district,21400
Central Otago district,18500
Queenstown-Lakes district,29700
Dunedin city,123500
Clutha district,17250
Southland district,30300
Gore district,12400
Invercargill city,53200
